temperatur,trykk,fuktighet,datetime
40.997135162353516,1026.56689453125,30.011568069458008,2022-11-01 21:49:35.267455
40.92335510253906,1026.55859375,28.21572494506836,2022-11-01 21:49:37.268297
40.960243225097656,1026.548583984375,26.86812400817871,2022-11-01 21:49:39.270448
40.8864631652832,1026.606201171875,28.44846534729004,2022-11-01 21:49:41.272883
40.92335510253906,1026.59912109375,27.14109230041504,2022-11-01 21:49:43.274479
40.997135162353516,1026.59326171875,29.13806915283203,2022-11-01 21:49:45.275390
40.94179916381836,1026.533447265625,28.192737579345703,2022-11-01 21:49:47.277192
40.8864631652832,1026.542724609375,30.390850067138672,2022-11-01 21:49:49.278871
40.997135162353516,1026.52294921875,29.247257232666016,2022-11-01 21:49:51.279729
40.97869110107422,1026.514404296875,29.330583572387695,2022-11-01 21:49:53.281267
40.868019104003906,1026.548095703125,29.00876808166504,2022-11-01 21:49:55.285402
40.868019104003906,1026.563232421875,28.416858673095703,2022-11-01 21:49:57.285775
